date,open,high,low,close,volume
1784088424,0.01,0.01,0.01,0.01,0
1784088724,0.01,0.01,0.01,0.01,0
1784089024,0.01,0.01,0.01,0.01,0
1784089324,0.01,0.01,0.01,0.01,0
1784089624,0.01,0.01,0.01,0.01,0
1784089924,0.01,0.01,0.01,0.01,0
1784090224,0.01,0.01,0.01,0.01,0
1784090524,0.01,0.01,0.01,0.01,0
1784090824,0.01,0.01,0.01,0.01,0
1784091124,0.01,0.01,0.01,0.01,0
1784091424,0.01,0.01,0.01,0.01,0
1784091724,0.01,0.01,0.01,0.01,0
1784092024,0.01,0.01,0.01,0.01,0
1784092324,0.01,0.01,0.01,0.01,0
1784092624,0.01,0.01,0.01,0.01,0
1784092924,0.01,0.01,0.01,0.01,0
1784093224,0.01,0.01,0.01,0.01,0
1784093524,0.01,0.01,0.01,0.01,0
1784093824,0.01,0.01,0.01,0.01,0
1784094124,0.01,0.01,0.01,0.01,0
1784094424,0.01,0.01,0.01,0.01,0
1784094724,0.01,0.01,0.01,0.01,0
1784095024,0.01,0.01,0.01,0.01,0
1784095324,0.01,0.01,0.01,0.01,0
1784095624,0.01,0.01,0.01,0.01,0
1784095924,0.01,0.01,0.01,0.01,0
1784096224,0.01,0.01,0.01,0.01,0
1784096524,0.01,0.01,0.01,0.01,0
1784096824,0.01,0.01,0.01,0.01,0
1784097124,0.01,0.01,0.01,0.01,0
1784097424,0.01,0.01,0.01,0.01,0
1784097724,0.01,0.01,0.01,0.01,0
1784098024,0.01,0.01,0.01,0.01,0
1784098324,0.01,0.01,0.01,0.01,0
1784098624,0.01,0.01,0.01,0.01,0
1784098924,0.01,0.01,0.01,0.01,0
1784099224,0.01,0.01,0.01,0.01,0
1784099524,0.01,0.01,0.01,0.01,0
1784099824,0.01,0.01,0.01,0.01,0
1784100124,0.01,0.01,0.01,0.01,0
1784100424,0.01,0.01,0.01,0.01,0
1784100724,0.01,0.01,0.01,0.01,0
1784101024,0.01,0.01,0.01,0.01,0
1784101324,0.01,0.01,0.01,0.01,0
1784101624,0.01,0.01,0.01,0.01,0
1784101924,0.01,0.01,0.01,0.01,0
1784102224,0.01,0.01,0.01,0.01,0
1784102524,0.01,0.01,0.01,0.01,0
1784102824,0.01,0.01,0.01,0.01,0
1784103124,0.01,0.01,0.01,0.01,0
1784103424,0.01,0.01,0.01,0.01,0
1784103724,0.01,0.01,0.01,0.01,0
1784104024,0.01,0.01,0.01,0.01,0
1784104324,0.01,0.01,0.01,0.01,0
1784104624,0.01,0.01,0.01,0.01,0
1784104924,0.01,0.01,0.01,0.01,0
1784105224,0.01,0.01,0.01,0.01,0
1784105524,0.01,0.01,0.01,0.01,0
1784105824,0.01,0.01,0.01,0.01,0
1784106124,0.01,0.01,0.01,0.01,0
1784106424,0.01,0.01,0.01,0.01,0
1784106724,0.01,0.01,0.01,0.01,0
1784107024,0.01,0.01,0.01,0.01,0
1784107324,0.01,0.01,0.01,0.01,0
1784107624,0.01,0.01,0.01,0.01,0
1784107924,0.01,0.01,0.01,0.01,0
1784108224,0.01,0.01,0.01,0.01,0
1784108524,0.01,0.01,0.01,0.01,0
1784108824,0.01,0.01,0.01,0.01,0
1784109124,0.01,0.01,0.01,0.01,0
1784109424,0.01,0.01,0.01,0.01,0
1784109724,0.01,0.01,0.01,0.01,0
1784110024,0.01,0.01,0.01,0.01,0
1784110324,0.01,0.01,0.01,0.01,0
1784110624,0.01,0.01,0.01,0.01,0
1784110924,0.01,0.01,0.01,0.01,0
